ACONIF,LobaOreg,DegreeDays,etpjyy,mindyy,taveyy,Aspect,Slope,Elevation,PctBroadLeafCov,PctConifCov,PctVegCov,TreeBiomass,ForestType,EvapoTransAve,EvapoTransDiff,MoistIndexAve,MoistIndexDiff,PrecipAve,PrecipDiff,RelHumidAve,RelHumidDiff,PotGlobRadAve,PotGlobRadDiff,AveTempAve,AveTempDiff,DayTempAve,DayTempDiff,MaxTempAve,MaxTempDiff,MinTempAve,MinTempDiff,AmbVapPressAve,AmbVapPressDiff,VapPressDefAve,VapPressDefDiff,SatVapPressAve,SatVapPressDiff,TempAve,TempDiff,VapPressAve,VapPressDiff,TransAspect
30.38066,0,34424,28.083,74.667,939.167,24,5,905,5,80,86,92,201,28.08333333,-19.08333333,75.08333333,1052.083333,932.8333333,468.3333333,589.1666667,59.5,18823.5,-8197.833333,939.1666667,-459.3333333,1076.5,-489.3333333,1587.666667,-600.6666667,290.6666667,-317.6666667,778.9166667,-176.0833333,605.5,-264,1384.416667,-440.0833333,973.5,-466.75,922.9444444,-293.3888889,0.002739052
64.42778,0,21307,21,374.667,539.917,166,4,1673,19,64,83,57,281,21,-16.83333333,375.0833333,1053.75,1017.75,539.75,565.75,54.08333333,20009.33333,-7845,540.1666667,-493.1666667,682.8333333,-522,1213.333333,-629.1666667,-133.5833333,-357.5833333,580.5833333,-151.9166667,497.9166667,-223.9166667,1078.5,-375.8333333,575.6875,-500.4791667,719,-250.5555556,0.859669886
132.1533,0,40304,26.417,141.667,1101.75,18,16,527,16,73,87,344,201,26.41666667,-19.58333333,142.0833333,1064.416667,949.1666667,465.5,574.25,62.75,15431.41667,-8557.916667,1101.75,-469.4166667,1247.666667,-502,1791.083333,-623.75,412,-314.8333333,845.8333333,-187.1666667,702.6666667,-308.3333333,1548.5,-495.5,1138.125,-477.5,1032.333333,-330.3333333,0.010926199
114.831,0,36664,27,271.083,1003.5,44,12,726,9,78,86,157,201,27,-19.16666667,271.5,1126,1096.25,539.75,585.6666667,59.83333333,17081.25,-8418.916667,1003.5,-457.3333333,1143.083333,-487.75,1662.583333,-601.0833333,344.1666667,-313.1666667,807.25,-178.9166667,636.5,-275.5,1443.75,-454.4166667,1038.333333,-464.8333333,962.5,-302.9444444,0.014852136
128.1446,0,20619,20.417,469.583,520.167,123,2,1677,13,39,52,46,281,20.41666667,-16.41666667,470,1077.666667,1094.833333,576.3333333,570.9166667,52.75,19676.83333,-7915,520.4166667,-480.0833333,660.25,-508.0833333,1181.333333,-612,-140.9166667,-348.5833333,576.3333333,-147.1666667,482.3333333,-213.8333333,1058.666667,-361,555.2708333,-487.1875,705.7777778,-240.6666667,0.526167964
160.9315,0,36961,22.75,834.75,1010.167,315,23,648,0,99,98,220,201,22.75,-17.41666667,835.1666667,1300,1530.166667,767.3333333,600.1666667,57.33333333,14098.66667,-8187,1010.166667,-437,1143.25,-465.4166667,1638.833333,-571.1666667,381.1666667,-302.6666667,827.1666667,-176.6666667,609.0833333,-255.9166667,1436.25,-432.5833333,1043.354167,-444.0625,957.5,-288.3888889,0.370590518
112.9664,0,14257,14.833,1184.333,275.417,263,19,2151,33,26,59,91,270,14.83333333,-13,1184.666667,1243.5,1638.833333,846.1666667,610.5,41.33333333,19472.5,-7561.333333,275.8333333,-432.5,396.1666667,-453.1666667,843.1666667,-531,-292.5833333,-335.0833333,517.0833333,-129.4166667,358.75,-147.9166667,875.8333333,-277.3333333,305.6458333,-437.9375,583.8888889,-184.8888889,0.800907539
32.89298,0,35235,27.583,442.25,963.083,90,12,745,2,97,97,144,201,27.58333333,-18.58333333,442.6666667,1187.833333,1285.083333,619.4166667,598.5,57.83333333,18394.33333,-8109.333333,963.0833333,-441.9166667,1096.583333,-470.75,1593.083333,-577.5833333,332.75,-306.0833333,800.0833333,-173.5833333,595,-253,1395.083333,-426.5833333,996.375,-449.0833333,930.0555556,-284.3888889,0.249999992
71.16778,0,31331,26.75,388.667,855.833,335,1,974,17,58,74,87,201,26.75,-18.58333333,389.0833333,1137.583333,1206.166667,569.1666667,584.75,61.25,19087.08333,-8058.583333,855.8333333,-470.3333333,994.25,-501.25,1509.333333,-617.1666667,202.5,-323,731.75,-168.75,582.75,-260.9166667,1314.5,-429.6666667,890.4791667,-477.9375,876.3333333,-286.4444444,0.213211819
105.6964,0,23818,16.917,891.833,643.25,300,36,1391,0,100,100,272,201,16.91666667,-13.75,892.1666667,1093.333333,1409.416667,672.9166667,597.5,53.16666667,14130.83333,-7269,643.4166667,-450.5833333,773.4166667,-477.25,1257.5,-575.8333333,29.08333333,-325.4166667,648.3333333,-153,483.5,-208.1666667,1131.833333,-361.1666667,675.8541667,-457.2708333,754.5555556,-240.7777778,0.50000004
