id,Age,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
19556,52,160,5,4,3,4,3,4,3,5,5,5,5,2,5,5,50,44,satisfied
90035,36,2863,1,1,3,1,5,4,5,4,4,4,4,3,4,5,0,0,satisfied
12360,20,192,2,0,2,4,2,2,2,2,4,1,3,2,2,2,0,0,neutral or dissatisfied
77959,44,3377,0,0,0,2,3,4,4,1,1,1,1,3,1,4,0,6,satisfied
36875,49,1182,2,3,4,3,4,1,2,2,2,2,2,4,2,4,0,20,satisfied
39177,16,311,3,3,3,3,5,5,3,5,4,3,1,1,2,5,0,0,satisfied
79433,77,3987,5,5,5,5,3,5,5,5,5,5,5,4,5,3,0,0,satisfied
97286,43,2556,2,2,2,2,4,4,5,4,4,4,4,5,4,3,77,65,satisfied
27508,47,556,5,2,2,2,5,5,5,5,2,2,5,3,3,5,1,0,satisfied
62482,46,1744,2,2,2,2,3,4,4,4,4,4,4,5,4,4,28,14,satisfied
47583,47,1235,4,1,1,1,5,1,5,3,3,4,3,1,3,4,29,19,satisfied
115550,33,325,2,5,5,5,1,3,4,2,2,2,2,3,2,4,18,7,neutral or dissatisfied
119987,46,1009,5,5,5,5,4,5,5,5,5,5,5,5,5,3,0,0,satisfied
42141,60,451,1,1,4,1,5,5,4,5,5,5,5,3,5,5,117,113,satisfied
2274,52,925,2,2,2,2,5,5,4,4,4,4,4,3,4,5,10,0,satisfied
22470,50,83,3,4,0,3,2,0,2,2,4,2,4,4,5,2,5,2,neutral or dissatisfied
124915,31,728,2,5,5,5,2,2,2,2,4,3,3,4,3,2,2,0,neutral or dissatisfied
17836,52,1075,5,4,5,3,4,5,4,4,3,5,5,4,5,4,0,0,satisfied
76872,43,1927,3,4,3,1,4,4,5,5,5,3,5,4,5,3,0,0,neutral or dissatisfied
64287,50,3799,5,5,5,5,4,5,4,4,4,5,4,5,4,5,8,0,satisfied
63995,60,612,4,4,4,4,2,4,5,5,5,5,5,5,5,5,21,49,satisfied
75855,43,1437,3,4,3,4,2,3,2,2,4,2,4,4,5,2,0,0,neutral or dissatisfied
106181,55,302,1,2,4,3,4,4,4,4,1,3,2,4,3,4,0,0,neutral or dissatisfied
44304,25,1428,4,4,4,4,4,4,4,4,1,5,3,1,5,4,0,0,satisfied
82602,30,528,4,3,5,3,2,5,2,2,3,2,3,4,4,2,0,0,neutral or dissatisfied
7823,62,710,3,5,3,4,2,3,2,2,3,5,5,4,4,2,0,0,neutral or dissatisfied
127781,24,3680,4,1,4,4,2,2,2,2,5,5,5,5,4,2,0,0,satisfied
34501,22,1521,4,1,1,1,4,4,4,4,1,4,1,1,5,4,3,13,satisfied
121658,44,1543,3,5,3,3,5,4,5,5,5,5,5,5,5,5,0,0,satisfied
20219,51,235,4,3,3,3,4,4,4,4,3,2,3,3,4,4,0,0,neutral or dissatisfied
67551,43,1235,1,5,1,1,1,1,4,3,3,1,5,4,3,5,0,0,neutral or dissatisfied
48994,56,308,2,3,3,3,5,2,5,2,2,2,2,2,2,2,0,0,satisfied
70811,41,624,2,3,2,4,5,2,5,5,4,3,3,1,4,5,0,0,neutral or dissatisfied
75241,22,1846,4,5,4,4,5,4,5,5,5,4,4,4,4,5,40,68,neutral or dissatisfied
12312,53,192,5,2,2,2,3,4,2,5,5,5,5,2,5,4,0,1,satisfied
48372,12,674,3,4,3,1,1,3,1,1,3,3,5,4,4,1,80,70,neutral or dissatisfied
51477,39,370,3,3,3,3,2,4,5,4,4,4,4,4,4,5,10,12,satisfied
84204,55,3169,1,1,1,1,3,5,4,5,5,5,5,3,5,5,73,68,satisfied
70990,32,802,4,4,4,2,2,4,4,2,4,2,4,3,5,2,0,10,neutral or dissatisfied
101991,40,628,1,4,1,3,5,1,5,5,3,2,5,5,4,5,4,0,neutral or dissatisfied
87447,42,373,3,3,3,5,4,3,4,4,3,2,5,5,5,4,0,0,neutral or dissatisfied
16112,24,725,4,4,4,2,2,4,2,2,4,2,3,1,5,2,0,4,satisfied
16172,22,277,3,3,3,3,3,3,3,1,5,4,3,3,2,3,116,177,neutral or dissatisfied
106558,28,1024,1,1,1,1,4,4,4,4,5,3,5,5,4,4,0,3,satisfied
11536,36,267,2,3,3,3,2,2,2,2,1,1,3,4,4,2,59,55,neutral or dissatisfied
47773,62,550,5,1,1,1,4,2,1,5,5,5,5,5,5,2,92,90,satisfied
70521,60,1889,2,2,3,2,3,5,4,5,5,5,5,5,5,3,0,0,satisfied
96283,59,460,2,5,2,5,3,3,4,5,5,2,4,1,5,2,4,2,neutral or dissatisfied
117993,49,3295,4,4,3,4,2,5,4,5,5,5,5,5,5,3,0,4,satisfied
74703,44,1205,2,4,2,3,4,4,3,4,4,2,4,2,4,2,0,0,neutral or dissatisfied
110840,58,990,3,5,2,3,3,4,5,1,1,2,1,5,1,3,0,0,neutral or dissatisfied
88249,24,444,4,0,4,2,2,4,2,2,5,3,5,3,5,2,20,32,satisfied
125877,53,520,4,2,2,2,3,3,4,4,4,4,4,3,4,3,17,0,satisfied
